Segment,Color
Bone,"[1.0, 0.980392, 0.862745]"
Malleus,"[0.917647, 0.0, 1.0]"
Incus,"[0.0, 1.0, 0.588235]"
Stapes,"[0.25098, 0.0, 1.0]"
Bony Labyrinth,"[0.356863, 0.482353, 0.356863]"
IAC,"[0.956863, 0.556863, 0.203922]"
Superior Vestibular Nerve,"[1.0, 0.74902, 0.529412]"
Inferior Vestibular Nerve,"[0.478431, 0.27451, 0.0980392]"
Cochlear Nerve,"[0.858824, 0.956863, 0.207843]"
Facial Nerve,"[0.956863, 0.839216, 0.192157]"
Chorda Tympani,"[0.596078, 0.517647, 0.117647]"
ICA,"[0.847059, 0.396078, 0.309804]"
Sigmoid Sinus,"[0.0, 0.592157, 0.807843]"
Dura,"[0.435294, 0.721569, 0.823529]"
Vestibular Aqueduct,"[0.356863, 0.388235, 0.482353]"
Mandible,"[0.392157, 0.0, 0.0]"
EAC,"[1.0, 0.882353, 0.843137]"
